,ctr,country,pdi,idv,mas,uai,ltowvs,ivr,mas_rank,pdi_rank
0,AFE,Africa East,64,27,41,52,32,40,58.0,33.0
1,AFW,Africa West,77,20,46,54,9,78,45.0,15.0
2,ALB,Albania,#NULL!,#NULL!,#NULL!,#NULL!,61,15,79.0,79.0
3,ALG,Algeria,#NULL!,#NULL!,#NULL!,#NULL!,26,32,79.0,79.0
4,AND,Andorra,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,65,79.0,79.0
5,ARA,Arab countries,80,38,53,68,23,34,34.0,10.0
6,ARG,Argentina,49,46,56,86,20,62,30.0,51.0
7,ARM,Armenia,#NULL!,#NULL!,#NULL!,#NULL!,61,#NULL!,79.0,79.0
8,AUL,Australia,38,90,61,51,21,71,22.0,62.0
9,AUT,Austria,11,55,79,70,60,63,5.0,76.0
10,AZE,Azerbaijan,#NULL!,#NULL!,#NULL!,#NULL!,61,22,79.0,79.0
11,BAN,Bangladesh,80,20,55,60,47,20,32.0,10.0
12,BLR,Belarus,#NULL!,#NULL!,#NULL!,#NULL!,81,15,79.0,79.0
13,BEL,Belgium,65,75,54,94,82,57,33.0,32.0
14,BEF,Belgium French,67,72,60,93,#NULL!,#NULL!,23.0,28.0
15,BEN,Belgium Netherl,61,78,43,97,#NULL!,#NULL!,51.0,38.0
16,BOS,Bosnia,#NULL!,#NULL!,#NULL!,#NULL!,70,44,79.0,79.0
17,BRA,Brazil,69,38,49,76,44,59,41.0,24.0
18,BUL,Bulgaria,70,30,40,85,69,16,59.0,20.0
19,BUF,Burkina Faso,#NULL!,#NULL!,#NULL!,#NULL!,27,18,79.0,79.0
20,CAN,Canada,39,80,52,48,36,68,36.0,61.0
21,CAF,Canada French,54,73,45,60,#NULL!,#NULL!,47.0,48.0
22,CHL,Chile,63,23,28,86,31,68,71.0,36.0
23,CHI,China,80,20,66,30,87,24,13.0,10.0
24,COL,Colombia,67,13,64,80,13,83,16.0,28.0
25,COS,Costa Rica,35,15,21,86,#NULL!,#NULL!,73.0,64.0
26,CRO,Croatia,73,33,40,80,58,33,59.0,18.0
27,CYP,Cyprus,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,70,79.0,79.0
28,CZE,Czech Rep,57,58,57,74,70,29,27.0,44.0
29,DEN,Denmark,18,74,16,23,35,70,76.0,74.0
30,DOM,Dominican Rep,#NULL!,#NULL!,#NULL!,#NULL!,13,54,79.0,79.0
31,ECA,Ecuador,78,8,63,67,#NULL!,#NULL!,19.0,13.0
32,EGY,Egypt,#NULL!,#NULL!,#NULL!,#NULL!,7,4,79.0,79.0
33,ETH,Ethiopia,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,46,79.0,79.0
34,SAL,El Salvador,66,19,40,94,20,89,59.0,30.0
35,EST,Estonia,40,60,30,60,82,16,70.0,58.0
36,FIN,Finland,33,63,26,59,38,57,72.0,68.0
37,FRA,France,68,71,43,86,63,48,51.0,25.0
38,GEO,Georgia,#NULL!,#NULL!,#NULL!,#NULL!,38,32,79.0,79.0
39,GER,Germany,35,67,66,65,83,40,13.0,64.0
40,GEE,Germany East,#NULL!,#NULL!,#NULL!,#NULL!,78,34,79.0,79.0
41,GHA,Ghana,#NULL!,#NULL!,#NULL!,#NULL!,4,72,79.0,79.0
42,GBR,Great Britain,35,89,66,35,51,69,13.0,64.0
43,GRE,Greece,60,35,57,112,45,50,27.0,40.0
44,GUA,Guatemala,95,6,37,101,#NULL!,#NULL!,65.0,1.0
45,HOK,Hong Kong,68,25,57,29,61,17,27.0,25.0
46,HUN,Hungary,46,80,88,82,58,31,3.0,54.0
47,ICE,Iceland,#NULL!,#NULL!,#NULL!,#NULL!,28,67,79.0,79.0
48,IND,India,77,48,56,40,51,26,30.0,15.0
49,IDO,Indonesia,78,14,46,48,62,38,45.0,13.0
50,IRA,Iran,58,41,43,59,14,40,51.0,42.0
51,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17,79.0,79.0
52,IRE,Ireland,28,70,68,35,24,65,11.0,71.0
53,ISR,Israel,13,54,47,81,38,#NULL!,43.0,75.0
54,ITA,Italy,50,76,70,75,61,30,8.0,50.0
55,JAM,Jamaica,45,39,68,13,#NULL!,#NULL!,11.0,55.0
56,JPN,Japan,54,46,95,92,88,42,1.0,48.0
57,JOR,Jordan,#NULL!,#NULL!,#NULL!,#NULL!,16,43,79.0,79.0
58,KOR,Korea South,60,18,39,85,100,29,63.0,40.0
59,KYR,Kyrgyz Rep,#NULL!,#NULL!,#NULL!,#NULL!,66,39,79.0,79.0
60,LAT,Latvia,44,70,9,63,69,13,2.0,56.0
61,LIT,Lithuania,42,60,19,65,82,16,74.0,57.0
62,LUX,Luxembourg,40,60,50,70,64,56,37.0,58.0
63,MAC,Macedonia Rep,#NULL!,#NULL!,#NULL!,#NULL!,62,35,79.0,79.0
64,MAL,Malaysia,104,26,50,36,41,57,37.0,77.0
65,MLI,Mali,#NULL!,#NULL!,#NULL!,#NULL!,20,43,79.0,79.0
66,MLT,Malta,56,59,47,96,47,66,43.0,46.0
67,MEX,Mexico,81,30,69,82,24,97,10.0,8.0
68,MOL,Moldova,#NULL!,#NULL!,#NULL!,#NULL!,71,19,79.0,79.0
69,MNG,Montenegro,#NULL!,#NULL!,#NULL!,#NULL!,75,20,79.0,79.0
70,MOR,Morocco,70,46,53,68,14,25,34.0,20.0
71,NET,Netherlands,38,80,14,53,67,68,77.0,62.0
72,NZL,New Zealand,22,79,58,49,33,75,24.0,73.0
73,NIG,Nigeria,#NULL!,#NULL!,#NULL!,#NULL!,13,84,79.0,79.0
74,NOR,Norway,31,69,8,50,35,55,4.0,69.0
75,PAK,Pakistan,55,14,50,70,50,0,37.0,47.0
76,PAN,Panama,95,11,44,86,#NULL!,#NULL!,50.0,1.0
77,PER,Peru,64,16,42,87,25,46,55.0,33.0
78,PHI,Philippines,94,32,64,44,27,42,16.0,3.0
79,POL,Poland,68,60,64,93,38,29,16.0,25.0
80,POR,Portugal,63,27,31,104,28,33,69.0,36.0
81,PUE,Puerto Rico,#NULL!,#NULL!,#NULL!,#NULL!,0,90,79.0,79.0
82,ROM,Romania,90,30,42,90,52,20,55.0,5.0
83,RUS,Russia,93,39,36,95,81,20,67.0,4.0
84,RWA,Rwanda,#NULL!,#NULL!,#NULL!,#NULL!,18,37,79.0,79.0
85,SAU,Saudi Arabia,#NULL!,#NULL!,#NULL!,#NULL!,36,52,79.0,79.0
86,SER,Serbia,86,25,43,92,52,28,51.0,6.0
87,SIN,Singapore,74,20,48,8,72,46,42.0,17.0
88,SLK,Slovak Rep,104,52,110,51,77,28,78.0,77.0
89,SLV,Slovenia,71,27,19,88,49,48,74.0,19.0
90,SAF,South Africa,#NULL!,#NULL!,#NULL!,#NULL!,34,63,79.0,79.0
91,SAW,South Africa white,49,65,63,49,#NULL!,#NULL!,19.0,51.0
92,SPA,Spain,57,51,42,86,48,44,55.0,44.0
93,SUR,Suriname,85,47,37,92,#NULL!,#NULL!,65.0,7.0
94,SWE,Sweden,31,71,5,29,53,78,40.0,69.0
95,SWI,Switzerland,34,68,70,58,74,66,8.0,67.0
96,SWF,Switzerland French,70,64,58,70,#NULL!,#NULL!,24.0,20.0
97,SWG,Switzerland German,26,69,72,56,#NULL!,#NULL!,7.0,72.0
98,TAI,Taiwan,58,17,45,69,93,49,47.0,42.0
99,TAN,Tanzania,#NULL!,#NULL!,#NULL!,#NULL!,34,38,79.0,79.0
100,THA,Thailand,64,20,34,64,32,45,68.0,33.0
101,TRI,Trinidad and Tobago,47,16,58,55,13,80,24.0,53.0
102,TUR,Turkey,66,37,45,85,46,49,47.0,30.0
103,USA,United States,40,91,62,46,26,68,21.0,58.0
