,LOCATION,Country,Time,Value,rank
1665,ALB,Albania,2015,33.89,20.0
3032,DZA,Algeria,2015,39.17,6.0
3427,AND,Andorra,2015,100.0,1.0
371,AGO,Angola,2015,17.79,95.0
2847,AUS,Australia,2015,21.19,81.0
299,AUT,Austria,2015,24.4,65.0
424,AZE,Azerbaijan,2015,24.49,63.0
2567,BHR,Bahrain,2015,30.12,34.0
3314,BLR,Belarus,2015,23.33,70.0
2176,BEL,Belgium,2015,21.58,79.0
5506,BLZ,Belize,2015,10.78,110.0
473,BEN,Benin,2015,13.84,104.0
3087,BMU,Bermuda,2015,29.63,35.0
3105,BIH,Bosnia and Herzegovina,2015,35.56,18.0
3574,BWA,Botswana,2015,28.79,38.0
2973,BRA,Brazil,2015,33.1,24.0
3331,BRN,Brunei Darussalam,2015,47.09,3.0
516,BGR,Bulgaria,2015,26.03,57.0
1638,BFA,Burkina Faso,2015,18.89,93.0
2368,CPV,Cabo Verde,2015,27.36,49.0
2962,KHM,Cambodia,2015,13.01,106.0
3259,CMR,Cameroon,2015,31.63,28.0
2509,CAN,Canada,2015,20.02,87.0
1839,CHL,Chile,2015,19.41,90.0
755,HKG,"China, Hong Kong Special Administrative Region",2015,23.19,72.0
2456,MAC,"China, Macao Special Administrative Region",2015,17.25,96.0
1156,COL,Colombia,2015,33.3,22.0
960,HRV,Croatia,2015,26.79,53.0
261,CYP,Cyprus,2015,28.56,40.0
1437,CZE,Czechia,2015,30.13,33.0
603,CIV,Côte d'Ivoire,2015,19.06,91.0
5532,PRK,Democratic People's Republic of Korea,2015,23.5,67.0
1796,DNK,Denmark,2015,28.28,42.0
3684,DOM,Dominican Republic,2015,29.44,36.0
3507,ECU,Ecuador,2015,23.16,73.0
2139,EGY,Egypt,2015,23.37,69.0
2505,SLV,El Salvador,2015,21.44,80.0
3532,ERI,Eritrea,2015,20.63,84.0
2613,EST,Estonia,2015,28.18,43.0
2907,FIN,Finland,2015,20.23,86.0
903,FRA,France,2015,25.76,59.0
1363,GEO,Georgia,2015,23.01,74.0
2216,DEU,Germany,2015,20.84,82.0
2464,GHA,Ghana,2015,12.58,107.0
3680,GRD,Grenada,2015,37.39,11.0
5558,GTM,Guatemala,2015,26.93,52.0
3024,HND,Honduras,2015,32.61,25.0
1442,HUN,Hungary,2015,22.78,75.0
1800,ISL,Iceland,2015,35.65,16.0
3744,IND,India,2015,27.8,46.0
3059,IRL,Ireland,2015,16.37,99.0
792,ISR,Israel,2015,27.58,47.0
1016,ITA,Italy,2015,32.51,26.0
5531,JAM,Jamaica,2015,13.89,102.0
2858,JPN,Japan,2015,13.18,105.0
295,JOR,Jordan,2015,30.28,32.0
3269,KAZ,Kazakhstan,2015,31.88,27.0
2773,KGZ,Kyrgyzstan,2015,31.2,30.0
944,LAO,Lao People's Democratic Republic,2015,16.75,97.0
2074,LVA,Latvia,2015,27.49,48.0
3520,LSO,Lesotho,2015,23.43,68.0
2194,LTU,Lithuania,2015,22.46,76.0
1160,LUX,Luxembourg,2015,16.12,100.0
1452,MDG,Madagascar,2015,19.49,89.0
3,MYS,Malaysia,2015,35.21,19.0
2256,MLI,Mali,2015,9.33,111.0
434,MLT,Malta,2015,20.62,85.0
3601,MRT,Mauritania,2015,10.95,108.0
1738,MUS,Mauritius,2015,23.29,71.0
2295,MEX,Mexico,2015,27.28,50.0
581,MNG,Mongolia,2015,29.28,37.0
1992,MAR,Morocco,2015,44.64,4.0
107,MOZ,Mozambique,2015,19.77,88.0
2406,NAM,Namibia,2015,28.51,41.0
855,NPL,Nepal,2015,13.85,103.0
401,NLD,Netherlands,2015,19.0,92.0
1484,NZL,New Zealand,2015,26.04,56.0
2268,NER,Niger,2015,10.95,109.0
2631,NOR,Norway,2015,24.47,64.0
3406,OMN,Oman,2015,38.35,8.0
1933,PSE,Palestine,2015,36.13,14.0
2469,PAN,Panama,2015,38.0,9.0
98,POL,Poland,2015,35.89,15.0
1884,PRT,Portugal,2015,26.4,55.0
2495,QAT,Qatar,2015,35.57,17.0
334,KOR,Republic of Korea,2015,16.4,98.0
1082,ROU,Romania,2015,31.59,29.0
2992,RWA,Rwanda,2015,27.18,51.0
3703,KNA,Saint Kitts and Nevis,2015,51.67,2.0
3593,LCA,Saint Lucia,2015,24.78,61.0
2499,STP,Sao Tome and Principe,2015,36.52,12.0
1370,SAU,Saudi Arabia,2015,8.36,113.0
174,SRB,Serbia,2015,33.69,21.0
1002,SYC,Seychelles,2015,21.74,78.0
2300,SVK,Slovakia,2015,26.69,54.0
1326,SVN,Slovenia,2015,25.63,60.0
3623,ZAF,South Africa,2015,27.8,45.0
1255,ESP,Spain,2015,25.78,58.0
2340,LKA,Sri Lanka,2015,28.75,39.0
5501,SDN,Sudan,2015,27.98,44.0
1566,SWE,Sweden,2015,30.75,31.0
2680,CHE,Switzerland,2015,18.05,94.0
2033,SYR,Syrian Arab Republic,2015,37.79,10.0
1105,TJK,Tajikistan,2015,8.61,112.0
343,MKD,The former Yugoslav Republic of Macedonia,2015,40.23,5.0
3470,TUN,Tunisia,2015,38.87,7.0
852,TUR,Turkey,2015,24.32,66.0
3343,UKR,Ukraine,2015,24.52,62.0
587,ARE,United Arab Emirates,2015,36.4,13.0
1980,GBR,United Kingdom,2015,20.71,83.0
249,USA,United States,2015,15.08,101.0
2547,VNM,Viet Nam,2015,33.19,23.0
1489,ZWE,Zimbabwe,2015,22.38,77.0
