,LOCATION,Country,Time,Value,rank
1596,ALB,Albania,2015,60.81,28.0
2722,DZA,Algeria,2015,71.52,6.0
3543,AGO,Angola,2015,36.55,91.0
488,ARG,Argentina,2015,58.14,35.0
5466,ARM,Armenia,2015,55.95,43.0
1621,AUS,Australia,2015,48.04,69.0
532,AUT,Austria,2015,46.6,73.0
620,AZE,Azerbaijan,2015,60.54,29.0
2784,BHR,Bahrain,2015,85.92,1.0
2425,BLR,Belarus,2015,63.57,18.0
889,BEL,Belgium,2015,38.75,87.0
5469,BLZ,Belize,2015,50.47,61.0
3577,BEN,Benin,2015,16.57,101.0
2986,BMU,Bermuda,2015,73.13,4.0
3191,BIH,Bosnia and Herzegovina,2015,67.49,11.0
2885,BRA,Brazil,2015,57.17,38.0
5503,VGB,British Virgin Islands,2015,70.75,8.0
1856,BRN,Brunei Darussalam,2015,64.93,17.0
21,BGR,Bulgaria,2015,61.16,27.0
1117,BFA,Burkina Faso,2015,15.4,103.0
2826,CPV,Cabo Verde,2015,60.11,30.0
3481,KHM,Cambodia,2015,45.04,79.0
3503,CMR,Cameroon,2015,35.66,92.0
3571,CAN,Canada,2015,52.85,47.0
1718,CHL,Chile,2015,45.15,78.0
273,HKG,"China, Hong Kong Special Administrative Region",2015,34.14,93.0
2581,MAC,"China, Macao Special Administrative Region",2015,41.07,84.0
233,COL,Colombia,2015,51.02,54.0
1246,HRV,Croatia,2015,61.5,25.0
2747,CYP,Cyprus,2015,71.02,7.0
190,CZE,Czechia,2015,56.07,41.0
2335,CIV,Côte d'Ivoire,2015,17.57,100.0
5527,PRK,Democratic People's Republic of Korea,2015,21.91,99.0
1288,DNK,Denmark,2015,52.45,51.0
3643,DOM,Dominican Republic,2015,56.74,39.0
525,ECU,Ecuador,2015,50.81,57.0
847,EGY,Egypt,2015,58.04,36.0
2666,SLV,El Salvador,2015,54.26,45.0
3618,ERI,Eritrea,2015,33.18,94.0
2474,EST,Estonia,2015,59.04,33.0
2399,FIN,Finland,2015,50.7,58.0
537,FRA,France,2015,42.2,83.0
1493,DEU,Germany,2015,45.52,77.0
2141,GHA,Ghana,2015,27.41,96.0
3534,GRD,Grenada,2015,66.97,13.0
5562,GTM,Guatemala,2015,39.91,85.0
2830,HND,Honduras,2015,54.04,46.0
47,HUN,Hungary,2015,49.76,64.0
1873,ISL,Iceland,2015,52.77,48.0
3729,IND,India,2015,47.95,71.0
3308,IRL,Ireland,2015,49.19,67.0
980,ISR,Israel,2015,48.03,70.0
3152,ITA,Italy,2015,57.34,37.0
1522,JPN,Japan,2015,25.67,97.0
2691,KGZ,Kyrgyzstan,2015,62.14,22.0
184,LAO,Lao People's Democratic Republic,2015,49.93,63.0
1308,LVA,Latvia,2015,62.64,20.0
3466,LSO,Lesotho,2015,36.81,89.0
1966,LTU,Lithuania,2015,56.23,40.0
3121,LUX,Luxembourg,2015,44.71,80.0
1257,MDG,Madagascar,2015,36.6,90.0
3347,MYS,Malaysia,2015,52.7,49.0
1734,MLI,Mali,2015,14.6,104.0
626,MLT,Malta,2015,52.47,50.0
1396,MUS,Mauritius,2015,58.92,34.0
2111,MEX,Mexico,2015,49.7,65.0
2556,MNG,Mongolia,2015,46.75,72.0
1816,MAR,Morocco,2015,45.92,75.0
2896,MOZ,Mozambique,2015,25.38,98.0
2158,NAM,Namibia,2015,55.68,44.0
1415,NPL,Nepal,2015,31.42,95.0
269,NLD,Netherlands,2015,39.8,86.0
1355,NZL,New Zealand,2015,51.98,53.0
3265,NER,Niger,2015,15.89,102.0
1674,NOR,Norway,2015,49.64,66.0
3544,OMN,Oman,2015,68.11,10.0
982,PSE,Palestine,2015,69.58,9.0
2664,PAN,Panama,2015,45.56,76.0
556,POL,Poland,2015,66.28,14.0
3101,PRT,Portugal,2015,56.04,42.0
2626,KOR,Republic of Korea,2015,38.32,88.0
1234,ROU,Romania,2015,61.29,26.0
3720,KNA,Saint Kitts and Nevis,2015,78.27,2.0
308,SAU,Saudi Arabia,2015,65.63,15.0
2590,SRB,Serbia,2015,67.32,12.0
685,SYC,Seychelles,2015,71.74,5.0
3780,SXM,Sint Maarten (Dutch part),2015,62.5,21.0
2069,SVK,Slovakia,2015,62.01,23.0
1101,SVN,Slovenia,2015,59.74,31.0
3635,ZAF,South Africa,2015,50.92,56.0
339,ESP,Spain,2015,48.55,68.0
1779,LKA,Sri Lanka,2015,46.29,74.0
5578,SDN,Sudan,2015,44.24,81.0
1448,SWE,Sweden,2015,50.94,55.0
2544,CHE,Switzerland,2015,42.34,82.0
2333,MKD,The former Yugoslav Republic of Macedonia,2015,65.3,16.0
3566,TUN,Tunisia,2015,74.08,3.0
655,TUR,Turkey,2015,50.64,60.0
3199,UKR,Ukraine,2015,63.38,19.0
398,ARE,United Arab Emirates,2015,61.69,24.0
1077,GBR,United Kingdom,2015,52.28,52.0
3419,USA,United States,2015,50.66,59.0
1578,VNM,Viet Nam,2015,59.22,32.0
932,ZWE,Zimbabwe,2015,49.95,62.0
