"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1975",21.582733813,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1976",20.754716981,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1977",18.390804598,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1978",19.791666667,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1979",20,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1980",18.75,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1981",18.253968254,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1982",20.819112628,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1983",19.155844156,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1984",18.674698795,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1985",19.607843137,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1986",18.848167539,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1987",18.518518519,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1988",18.79350348,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1989",18.58974359,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1990",18.181818182,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1991",16.015625,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1992",14.258555133,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1993",13.224637681,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1994",14.409722222,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1995",14.478114478,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1997",15.254237288,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1998",13.242009132,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","1999",14.285714286,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2000",17.2,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2001",14.342105263,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2002",15,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2003",13.043478261,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2004",14.352941176,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2005",15.777777778,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2006",16.666666667,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2007",15.4,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2008",11.937377691,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2009",16.363636364,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2010",14.04293381,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2011",15.966386555,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2012",13.75,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2013",18,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2014",15.384615385,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2015",13,
"AUS","WAGEGAP","EMPLOYEE","PC_PNT","A","2016",14.286310555,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2003",51.79602,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2004",49.96608,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2005",49.89719,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2006",47.26454,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2007",48.46805,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2008",48.6041,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2009",46.53011,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2010",45.36216,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2011",44.05812,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2012",45.36977,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2013",46.31815,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2014",48.71697,
"AUT","WAGEGAP","SELFEMPLOYED","PC_PNT","A","2015",50.4062,
"AUT","WAGEGAP","EMPLOYEE","PC_PNT","A","2000",23.141943088,
"AUT","WAGEGAP","EMPLOYEE","PC_PNT","A","2001",22.801817823,
