Education at a Glance 2017: OECD Indicators - © OECD 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total public expenditure on education (2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Direct public expenditure on educational institutions plus public subsidies to households and other private entities,1 as a percentage of total government expenditure, by level of education",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Public expenditure1 on education as a percentage of total government expenditure,,,,,,,,,,,,,,,,,,,,,,Public expenditure1 on education as a percentage of GDP,,,,,,Total government expenditure on all services as a percentage of GDP,,,,,,,,,,
,,,,Lower secondary ,,Upper secondary ,,All secondary ,,,,Short-cycle tertiary,,"Bachelor's, master's and doctorate degrees",,All tertiary ,,,,Total,,Of which: public transfers and payments to the non-educational private sector,,,,,,,,,,,,,,,,,,
Australia,,4.7,,2.8,,1.8,,4.7,,0.2,,0.7,,3.1,,3.8,,2.2,,13.4,,2.4,,3.4,,1.4,,4.8,,35,,,,,,,,,,
Austria,,1.7,,2.3,,1.9,,4.2,,0.0,,0.5,,2.8,,3.4,,2.5,,9.3,,0.5,,3.1,,1.8,,4.9,,53,,,,,,,,,,
Belgium,,2.8,,1.6,,3.4,d,5.0,d,,"x(3,4)",0.1,,2.6,,2.6,,1.9,,10.4,,0.7,,4.3,,1.5,,5.8,,55,,,,,,,,,,
Canada,2,5.2,d,,x(1),3.6,,3.6,,,m,1.6,,3.1,,4.6,,3.4,,13.4,,1.2,,3.2,,1.7,,4.9,,37,,,,,,,,,,
Chile,3,5.0,,2.1,,3.6,,5.7,,,a,0.6,,4.4,,5.0,,4.6,,15.8,,2.4,,2.7,,1.3,,4.0,,25,,,,,,,,,,
Czech Republic,,1.8,,2.1,,2.0,,4.1,,0.0,,0.0,,1.9,,1.9,,1.2,,7.8,,0.2,,2.5,,0.8,,3.3,,42,,,,,,,,,,
Denmark,,3.8,,2.2,,3.3,,5.5,,,a,,x(8),,x(8),4.2,,,m,13.5,,2.2,,5.1,,2.3,,7.5,,55,,,,,,,,,,
Estonia,,3.5,,1.8,,1.9,,3.7,,0.6,,,a,3.7,,3.7,,2.4,,11.6,,0.4,,3.0,,1.4,,4.5,,38,,,,,,,,,,
Finland,,2.4,,1.9,,2.7,d,4.6,d,,"x(3,4)",,a,3.4,,3.4,,2.4,,10.4,,0.7,,4.0,,2.0,,6.0,,58,,,,,,,,,,
France,,2.0,,2.2,,2.0,,4.2,,0.0,,0.5,,1.7,,2.2,,1.5,,8.4,,0.4,,3.6,,1.3,,4.8,,57,,,,,,,,,,
Germany,,1.4,,2.8,,1.9,,4.7,,0.4,,0.0,,3.0,,3.0,,2.0,,9.4,,1.1,,2.9,,1.3,,4.2,,44,,,,,,,,,,
Greece,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,51,,,,,,,,,,
Hungary,,1.2,,1.2,,2.9,,4.1,,0.5,,0.1,,1.5,,1.6,,1.3,,7.3,,0.5,,2.8,,0.8,,3.6,,49,,,,,,,,,,
Iceland,,5.1,,2.4,,2.5,,4.9,,0.1,,0.1,,3.2,,3.3,,,m,13.4,,0.9,,4.6,,1.5,,6.1,,45,,,,,,,,,,
Ireland,,4.8,,2.2,,2.2,,4.4,,1.0,,,x(8),,x(8),2.7,,2.0,,12.9,,1.2,,3.8,,1.0,,4.8,,37,,,,,,,,,,
