Education at a Glance 2017: OECD Indicators - © OECD 2017,,,,,,,,,,,,,,
Indicator B4,What is the total public spending on education?,,,,,,,,,,,,,
Version 2 - Last updated: 26-Oct-2017,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure B4.3.,,,,,,,,,,,,,,
Distribution of initial sources of public funds for education and change in government levels' share of funds after intergovernmental transfers (2014),,,,,,,,,,,,,,
"Primary, secondary and post-secondary non-tertiary education",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1. Year of reference 2015.,,,,,,,,,,,,,,
"2. Some levels of education are included with others. Refer to ""x"" code in Table B4.1 for details. ",,,,,,,,,,,,,,
3. Year of reference 2013.,,,,,,,,,,,,,,
4. Regional transfers to local governments are included in the regional rather than local final funds.,,,,,,,,,,,,,,
Countries are ranked in descending order of the share of initial sources of funds from the central level of government.,,,,,,,,,,,,,,
"Source: OECD / UIS / Eurostat (2017), Table B4.3. See Source section for more information and Annex 3 for notes (www.oecd.org/education/education-at-a-glance-19991487.htm).
",,,,,,,,,,,,,,
http://stats.oecd.org/index.aspx?queryid=79389,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data for Figure B4.3. Distribution of initial sources of public funds for education and change in government levels' share of funds after intergovernmental transfers (2014),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Difference in government levels' share of funds before and after intergovernmental transfers ,,,,,Distribution of initial sources of public funds for education by level of government,,,,,,,,,
,Change in central governments' share of funds after intergovernmental transfers,Change in regional governments' share of funds after intergovernmental transfers,Change in local governments' share of funds after intergovernmental transfers,,,Initial funds from the central level of government,Initial funds from the regional level of government,Initial funds from the local level of government,,,,,,
New Zealand,0,0,0,,New Zealand,100,0,0,,,,,,
Costa Rica,0,0,0,,Costa Rica,100,0,0,,,,,,
Chile1,-32,0,32,,Chile1,100,0,0,,,,,,
Ireland,-17,0,17,,Ireland,99,0,1,,,,,,
Turkey,0,0,0,,Turkey,98,0,2,,,,,,
Netherlands,-2,0,2,,Netherlands,92,0,8,,,,,,
Hungary,-0,0,0,,Hungary,90,0,10,,,,,,
"Colombia1,2",0,0,0,,"Colombia1,2",88,3,9,,,,,,
Israel,-18,0,18,,Israel,88,0,12,,,,,,
Estonia,-18,0,18,,Estonia,87,0,13,,,,,,
Slovenia,-0,0,0,,Slovenia,87,0,13,,,,,,
Luxembourg,-1,0,1,,Luxembourg,87,0,13,,,,,,
Portugal2,-4,0,4,,Portugal2,85,6,8,,,,,,
Slovak Republic,-54,0,54,,Slovak Republic,82,0,18,,,,,,
Italy,-1,-1,2,,Italy,82,9,9,,,,,,
Mexico,-48,48,0,,Mexico,79,21,0,,,,,,
Lithuania,-51,0,51,,Lithuania,78,0,22,,,,,,
Austria,-37,36,1,,Austria,74,14,12,,,,,,
France,-1,0,1,,France,72,16,11,,,,,,
Korea,-69,14,55,,Korea,70,27,3,,,,,,
Latvia,-38,0,38,,Latvia,65,0,35,,,,,,
EU22 average,-11,2,9,,EU22 average,60,18,22,,,,,,
OECD average,-13,1,13,,OECD average,55,21,24,,,,,,
United Kingdom,0,0,0,,United Kingdom,42,0,58,,,,,,
Finland,-30,0,30,,Finland,40,0,60,,,,,,
Australia,-29,29,0,,Australia,33,67,0,,,,,,
Iceland,-1,0,1,,Iceland,26,0,74,,,,,,
Indonesia1,0,0,0,,Indonesia1,24,7,68,,,,,,
Belgium,1,-1,0,,Belgium,23,74,3,,,,,,
India3,0,-16,16,,India3,21,79,0,,,,,,
"Japan2,4",-15,15,0,,"Japan2,4",16,66,18,,,,,,
Brazil,-7,0,7,,Brazil,16,43,41,,,,,,
Spain,0,0,0,,Spain,14,80,6,,,,,,
Czech Republic,-0,0,0,,Czech Republic,12,61,27,,,,,,
Argentina,-6,6,0,,Argentina,9,90,1,,,,,,
United States,-7,-41,48,,United States,8,43,49,,,,,,
Germany,-1,-4,4,,Germany,7,75,18,,,,,,
Norway,-2,0,2,,Norway,7,0,93,,,,,,
Poland,-1,-0,1,,Poland,5,2,94,,,,,,
Switzerland,-3,-1,4,,Switzerland,4,60,37,,,,,,
Canada2,-1,-64,64,,Canada2,4,75,21,,,,,,
South Africa3,0,0,0,,South Africa3,1,99,0,,,,,,
