Education at a Glance 2017: OECD Indicators - © OECD 2017,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator B4,What is the total public spending on education?,,,,,,,,,,,,,,,,,,,,,,,,
Version 2 - Last updated: 26-Oct-2017,,,,,,,,,,,,,,,,,,,,,,,,,
Disclaimer: http://oe.cd/disclaimer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Table B4.3.,,,,,,,,,,,,,,,,,,,,,,,,,
Share of sources of public funds by level of government (2014),,,,,,,,,,,,,,,,,,,,,,,,,
"Before and after transfers, by level of education",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Primary, secondary and post-secondary non-tertiary",,,,,,,,,,,,Tertiary,,,,,,,,,,,
,,"Initial funds
 (before transfers between levels of government)",,,,,,"Final funds
 (after transfers between levels of government)",,,,,,"Initial funds
 (before transfers between levels of government)",,,,,,"Final funds
 (after transfers between levels of government)",,,,,
,,Central,,Regional,,Local,,Central,,Regional,,Local,,Central,,Regional,,Local,,Central,,Regional,,Local,
,,(1),,(2),,(3),,(4),,(5),,(6),,(7),,(8),,(9),,(10),,(11),,(12),
OECD,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,33,,67,,0,,5,,95,,0,,95,,5,,0,,93,,7,,0,
Austria,,74,,14,,12,,37,,50,,13,,97,,3,,0,,97,,3,,0,
Belgium,,23,,74,,3,,24,,74,,3,,22,,77,,1,,21,,78,,1,
Canada,1,4,,75,,21,,3,,11,,86,,,m,,m,,m,,m,,m,,m
Chile,2,100,,,a,0,,68,,,a,32,,100,,,a,-0,,100,,,a,0,
Czech Republic,,12,,61,,27,,11,,61,,27,,97,,2,,2,,97,,2,,2,
Denmark,,,m,,m,,m,,m,,m,,m,100,,0,,0,,100,,0,,0,
Estonia,,87,,,a,13,,69,,,a,31,,100,,,a,0,,100,,,a,0,
Finland,,40,,,a,60,,10,,,a,90,,88,,,a,12,,87,,,a,13,
France,,72,,16,,11,,72,,17,,12,,86,,10,,5,,86,,10,,5,
Germany,,7,,75,,18,,6,,72,,22,,25,,73,,2,,20,,78,,2,
Greece,,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m,,m
Hungary,,90,,,a,10,,89,,,a,11,,100,,,a,0,,100,,,a,0,
Iceland,,26,,,a,74,,25,,,a,75,,100,,,a,-0,,100,,,a,,a
Ireland,,99,,,a,1,,82,,,a,18,,100,,,a,0,,86,,,a,14,
Israel,,88,,,a,12,,70,,,a,30,,99,,,a,1,,99,,,a,1,
Italy,,82,,9,,9,,81,,7,,11,,84,,15,,0,,83,,17,,0,
Japan,"3,4",16,,66,,18,,2,,81,,18,,92,,7,,0,,92,,8,,0,
Korea,,70,,27,,3,,1,,40,,58,,97,,2,,1,,97,,2,,1,
Latvia,,65,,,a,35,,27,,,a,73,,100,,,a,0,,100,,,a,0,
Luxembourg,,87,,,a,13,,86,,,a,14,,100,,,a,0,,100,,,a,0,
Mexico,,79,,21,,0,,31,,69,,0,,79,,21,,0,,77,,23,,0,
Netherlands,,92,,0,,8,,89,,0,,11,,100,,0,,,a,100,,0,,,a
New Zealand,,100,,,a,,a,100,,,a,,a,100,,,a,,a,100,,,a,,a
Norway,,7,,0,,93,,5,,,a,95,,99,,0,,1,,99,,,a,1,
Poland,,5,,2,,94,,4,,2,,95,,99,,1,,0,,99,,1,,0,
Portugal,4,85,,6,,8,,81,,6,,13,,100,,0,,0,,100,,0,,0,
Slovak Republic,,82,,,a,18,,28,,,a,72,,100,,,a,-0,,99,,,a,1,
Slovenia,,87,,,a,13,,87,,,a,13,,99,,,a,1,,99,,,a,1,
Spain,,14,,80,,6,,14,,80,,6,,19,,80,,1,,19,,80,,1,
Sweden,,,m,,m,,m,,m,,m,,m,97,,3,,0,,97,,3,,0,
Switzerland,,4,,60,,37,,0,,59,,40,,32,,68,,0,,15,,85,,0,
Turkey,,98,,,a,2,,98,,,a,2,,100,,,a,0,,100,,,a,0,
United Kingdom,,42,,,a,58,,42,,,a,58,,100,,,a,0,,100,,,a,0,
United States,,8,,43,,49,,1,,2,,97,,50,,39,,11,,50,,39,,11,
,,,,,,,,,,,,,,,,,,,,,,,,,
OECD average,,55,,21,,24,,42,,22,,36,,87,,12,,1,,85,,13,,2,
EU22 average,,60,,18,,22,,49,,19,,31,,86,,12,,1,,85,,13,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
Partners,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,9,,90,,1,,3,,96,,1,,77,,23,,0,,75,,25,,0,
