Public spending on early childhood education and care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total public expenditure on early childhood education and care, in per cent of GDP, 1980-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.10,0.12,0.14,0.18,0.19,0.19,0.17,0.35,0.38,0.38,0.42,0.42,0.40,0.40,0.38,0.35,0.39,0.47,0.50,0.52,0.54,0.58,0.61,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,,0.34,..,..,..,..,0.38,..,..,..,..,0.22,0.23,0.25,0.27,0.28,0.28,0.29,0.31,0.23,0.23,0.27,0.27,0.27,0.29,0.28,0.28,0.29,0.29,0.31,0.38,0.46,0.45,0.48,0.49,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.48,0.49,0.49,0.58,0.60,0.62,0.61,0.61,0.61,0.61,0.63,0.65,0.67,0.67,0.73,0.78,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.25,0.25,0.25,0.28,0.27,0.26,0.31,0.37,0.46,0.43,0.40,0.41,0.45,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.32,0.31,0.29,0.32,0.31,0.30,0.32,0.32,0.30,0.32,0.39,0.39,0.40,0.44,0.45,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,1.11,1.19,1.21,1.14,1.10,1.04,1.03,1.08,1.14,1.13,1.27,1.32,1.37,1.48,1.49,1.46,1.51,1.54,1.37,1.42,1.37,1.38,1.38,1.39,1.33,1.32,1.33,1.24,1.23,1.31,1.25,1.40,1.39,1.36,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.11,0.12,0.14,0.17,0.20,0.23,0.26,0.25,0.26,0.37,0.34,0.34,0.32,0.34,0.38,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,0.57,0.63,0.68,0.73,0.74,0.85,0.89,0.92,0.93,0.99,1.09,1.22,1.17,1.09,1.02,1.02,1.09,1.06,1.02,1.01,0.93,0.89,0.89,0.89,0.88,0.90,0.88,0.87,0.92,1.03,1.03,1.05,1.10,1.11,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,0.16,0.18,0.20,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.64,0.64,0.63,0.74,0.73,0.73,0.68,0.70,1.29,1.28,1.19,1.16,1.16,1.18,1.22,1.20,1.04,1.06,1.08,1.18,1.19,1.19,1.24,1.27,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
